date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:44:23	277622/277622	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Dec%202025%2007:45:51%20GMT	https://www.alecia.fr/operations	www.alecia.fr/operations.html	(from )
05:44:24	58/58	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Sat,%2013%20Dec%202025%2022:30:54%20GMT	https://www.alecia.fr/robots.txt		(from )
05:44:25	44663/44663	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Dec%202025%2018:18:16%20GMT	https://www.alecia.fr/expertises	www.alecia.fr/expertises.html	(from https://www.alecia.fr/operations)
05:44:25	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Sun,%2014%20Dec%202025%2004:44:25%20GMT	https://www.alecia.fr/	www.alecia.fr/index.html	(from https://www.alecia.fr/operations)
05:44:26	26192/26192	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Dec%202025%2017:49:17%20GMT	https://www.alecia.fr/actualites	www.alecia.fr/actualites.html	(from https://www.alecia.fr/operations)
05:44:27	65980/65980	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Dec%202025%2016:44:00%20GMT	https://www.alecia.fr/equipe	www.alecia.fr/equipe.html	(from https://www.alecia.fr/operations)
05:44:28	34009/34009	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Dec%202025%2022:48:06%20GMT	https://www.alecia.fr/nous-rejoindre	www.alecia.fr/nous-rejoindre.html	(from https://www.alecia.fr/operations)
05:44:29	26405/26405	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Nov%202025%2001:59:36%20GMT	https://www.alecia.fr/contact	www.alecia.fr/contact.html	(from https://www.alecia.fr/operations)
05:44:30	4522/4522	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Dec%202025%2013:47:22%20GMT	https://www.alecia.fr/operations/hmr-2	www.alecia.fr/operations/hmr-2.html	(from https://www.alecia.fr/operations)
05:44:30	4518/4518	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Dec%202025%2013:47:22%20GMT	https://www.alecia.fr/operations/hmr	www.alecia.fr/operations/hmr.html	(from https://www.alecia.fr/operations)
05:44:31	4532/4532	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Dec%202025%2012:45:46%20GMT	https://www.alecia.fr/operations/safe-group	www.alecia.fr/operations/safe-group.html	(from https://www.alecia.fr/operations)
05:44:33	4524/4524	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Dec%202025%2018:24:07%20GMT	https://www.alecia.fr/operations/signes	www.alecia.fr/operations/signes.html	(from https://www.alecia.fr/operations)
05:44:33	5325/5325	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Dec%202025%2012:14:48%20GMT	https://www.alecia.fr/operations/xrl-consulting	www.alecia.fr/operations/xrl-consulting.html	(from https://www.alecia.fr/operations)
05:44:34	4536/4536	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Dec%202025%2016:46:14%20GMT	https://www.alecia.fr/operations/confidentiel	www.alecia.fr/operations/confidentiel.html	(from https://www.alecia.fr/operations)
05:44:35	4536/4536	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Dec%202025%2013:47:22%20GMT	https://www.alecia.fr/operations/maison-bracq	www.alecia.fr/operations/maison-bracq.html	(from https://www.alecia.fr/operations)
05:44:37	4524/4524	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Dec%202025%2012:09:20%20GMT	https://www.alecia.fr/operations/kanope	www.alecia.fr/operations/kanope.html	(from https://www.alecia.fr/operations)
05:44:38	4524/4524	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Dec%202025%2018:24:09%20GMT	https://www.alecia.fr/operations/hollys	www.alecia.fr/operations/hollys.html	(from https://www.alecia.fr/operations)
05:44:38	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Sun,%2014%20Dec%202025%2004:44:38%20GMT	https://www.alecia.fr/operations/keller-williams	www.alecia.fr/operations/keller-williams	(from https://www.alecia.fr/operations)
05:44:40	4524/4524	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Dec%202025%2018:24:09%20GMT	https://www.alecia.fr/operations/lovial	www.alecia.fr/operations/lovial.html	(from https://www.alecia.fr/operations)
05:44:40	4546/4546	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Dec%202025%2013:47:22%20GMT	https://www.alecia.fr/operations/omnes-education-2	www.alecia.fr/operations/omnes-education-2.html	(from https://www.alecia.fr/operations)
05:44:41	4542/4542	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Dec%202025%2023:28:03%20GMT	https://www.alecia.fr/operations/omnes-education	www.alecia.fr/operations/omnes-education.html	(from https://www.alecia.fr/operations)
05:44:42	4536/4536	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Dec%202025%2013:47:22%20GMT	https://www.alecia.fr/operations/patie-michel	www.alecia.fr/operations/patie-michel.html	(from https://www.alecia.fr/operations)
05:44:43	4542/4542	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Dec%202025%2009:55:02%20GMT	https://www.alecia.fr/operations/jardin-molinari	www.alecia.fr/operations/jardin-molinari.html	(from https://www.alecia.fr/operations)
05:44:45	4522/4522	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Dec%202025%2012:09:55%20GMT	https://www.alecia.fr/operations/uside	www.alecia.fr/operations/uside.html	(from https://www.alecia.fr/operations)
